ApellidoAsambleista,Total
ZAMBRANO,26
GOMEZ,13
ANDRADE,13
SANCHEZ,11
GONZALEZ,11
TORRES,10
TERAN,10
MENDOZA,10
MUÑOZ,10
MOLINA,10
AGUIRRE,10
CEDEÑO,10
RODRIGUEZ,9
RIVADENEIRA,9
PALACIOS,9
ORDOÑEZ,9
CARRION,9
ARIAS,9
CHAVEZ,9
VITERI,8
REYES,8
SALAZAR,8
PEÑA,8
GUAMAN,8
CUESTA,8
JARAMILLO,8
JIMENEZ,8
FLORES,8
CASTILLO,8
ARTEAGA,8
ALVARADO,8
AGUILAR,8
VELEZ,7
VELASCO,7
VERA,7
ORTIZ,7
LOPEZ,7
MORENO,7
GARCIA,7
CRUZ,7
LARA,7
GARZON,7
CEVALLOS,7
VILLACRES,6
TAPIA,6
RAMIREZ,6
SERRANO,6
NARANJO,6
JACOME,6
HIDALGO,6
DAVILA,6
FARINANGO,6
JARRIN,6
CADENA,6
CABRERA,6
ALVAREZ,6
CARDENAS,6
VALLEJO,5
VICUÑA,5
SALGADO,5
VASQUEZ,5
VALLE,5
ROMERO,5
ROJAS,5
ZAPATA,5
MORAN,5
ORELLANA,5
POZO,5
FAJARDO,5
HERNANDEZ,5
GUZMAN,5
ENRIQUEZ,5
HERRERA,5
DELGADO,5
GUEVARA,5
KRONFLE,5
CUEVA,5
DONOSO,5
CORDOVA,5
FERNANDEZ,5
ALAVA,5
CALLE,5
AREVALO,5
ALARCON,5
CABEZAS,5
CASTRO,5
VEGA,4
VASCONEZ,4
RIVERA,4
SOLORZANO,4
RUIZ,4
VACA,4
VELA,4
VALENCIA,4
SALCEDO,4
VARGAS,4
YUCAILLA,4
MALDONADO,4
PEÑAFIEL,4
PALMA,4
MEDINA,4
PLUAS,4
MERA,4
LEON,4
MONCAYO,4
PAZMIÑO,4
LOOR,4
PEREZ,4
PONCE,4
MARTINEZ,4
NARVAEZ,4
PROAÑO,4
FREIRE,4
GALLEGOS,4
GALARZA,4
CORDERO,4
DIAZ,4
DE LA CRUZ,4
JURADO,4
ALCIVAR,4
ARCE,4
ARREGUI,4
BUSTOS,4
CHICA,4
CERDA,4
BURBANO,4
BUSTAMANTE,4
BENAVIDES,4
VELOZ,3
ZAMBONINO,3
VILLAVICENCIO,3
ROMAN,3
TOAPANTA,3
VALDIVIESO,3
SAMANIEGO,3
TAIANO,3
SANTOS,3
VALERO,3
TIUPUL,3
YEPEZ,3
URQUIZO,3
SARANGO,3
RECALDE,3
VANEGAS,3
RIOS,3
TAMAYO,3
VINTIMILLA,3
REINOSO,3
URRESTA,3
RAFFO,3
ROMO,3
RUEDA,3
RAMOS,3
ZURITA,3
OLMEDO,3
PARRA,3
PABON,3
MAIGUA,3
MACIAS,3
MONTAÑO,3
MACHADO,3
MONTEROS,3
MATEUS,3
MALAVE,3
MENDEZ,3
LUNA,3
LEDESMA,3
QUEZADA,3
ONOFA,3
MORILLO,3
OVIEDO,3
MOSCOSO,3
PACHECO,3
MOSQUERA,3
MACHUCA,3
MANCHENO,3
MEJIA,3
NOBOA,3
MENENDEZ,3
NORIEGA,3
MIRANDA,3
NUÑEZ,3
OCHOA,3
MOREIRA,3
QUIÑONEZ,3
MORETA,3
QUISHPE,3
ESPIN,3
GUTIERREZ,3
ESTRADA,3
GALLARDO,3
ENCALADA,3
FRANCO,3
HURTADO,3
CHIMBO,3
FALCONI,3
DESINTONIO,3
DURAN,3
FIGUEROA,3
CHIRIBOGA,3
CORREA,3
HOLGUIN,3
JUEZ,3
ESPINEL,3
KOZHAYA,3
CUERO,3
GUERRERO,3
COBO,3
DUEÑAS,3
DUCHI,3
CISNEROS,3
GUDIÑO,3
LARREA,3
FIERRO,3
FUENTES,3
CELLERI,3
CARVAJAL,3
CHAMBA,3
CABANILLA,3
BORJA,3
ALVEAR,3
ACUÑA,3
AUQUILLA,3
ALBAN,3
BARRAGAN,3
ACOSTA,3
BARRETO,3
BRAVO,3
CAMACHO,3
ALMEIDA,3
CAMPOVERDE,3
CHALA,3
BENALCAZAR,3
ABAD,3
CARRILLO,3
BONILLA,3
ZAMORA,2
VILLAMAR,2
VERDUGA,2
TENELEMA,2
YALLICO,2
TENORIO,2
SEGURA,2
SAANT,2
VILEMA,2
ZUÑIGA,2
VINUEZA,2
SABANDO,2
ROSADO,2
SAENZ,2
SEGOVIA,2
SALAS,2
ROBALINO,2
TOBAR,2
VERGARA,2
TOMALA,2
VILLACRESES,2
TORO,2
VILLENA,2
TROYA,2
VIVANCO,2
TUALA,2
YAR,2
ULCUANGO,2
YUNDA,2
URGILES,2
ZAVALA,2
URIARTE,2
VELASQUEZ,2
ROCHE,2
VELIZ,2
REMACHE,2
SILVA,2
SALDAÑA,2
VERDUGO,2
VALAREZO,2
SOLANO,2
ROGEL,2
SOLIZ,2
SALINAS,2
VILLALBA,2
SALTOS,2
RONQUILLO,2
VALLADAREZ,2
SOTO,2
ROHON,2
SUAREZ,2
RIBADENEIRA,2
YAGUAL,2
SANMARTIN,2
YANDUN,2
VARELA,2
YELA,2
SANTANA,2
ROBLES,2
SANTILLAN,2
ROCHA,2
RICAURTE,2
TAPUY,2
RIZZO,2
TELLO,2
SARZOSA,2
TIBAN,2
MARQUEZ,2
MANTILLA,2
POLANCO,2
MAYORGA,2
PARRAGA,2
LASSO,2
PINARGOTE,2
MELO,2
QUEVEDO,2
MENA,2
PAEZ,2
LAVAYEN,2
PASSAILAIGUE,2
MIÑO,2
PESANTEZ,2
LUCERO,2
PLACENCIA,2
MONGE,2
PRADO,2
MONTALVO,2
QUIROLA,2
MONTENEGRO,2
ORTEGA,2
MONTESDEOCA,2
PAREDES,2
MORALES,2
PARRALES,2
LLORET,2
PATIÑO,2
LLORI,2
PEET,2
MOROCHO,2
PIEDRA,2
MUNTZA,2
PINARGOTTE,2
MURILLO,2
PLAZA,2
QUIROZ,2
POSSO,2
LOGROÑO,2
PULLEY,2
OLSEN,2
QUILUMBAQUIN,2
MANOSALVAS,2
QUINTANA,2
CUCALON,2
GILER,2
GALARRAGA,2
CHUMPI,2
GUERRA,2
CIFUENTES,2
CURICAMA,2
DUARTE,2
GARCES,2
CLAVIJO,2
LANDIN,2
COBOS,2
HERDOIZA,2
ECHEVERRIA,2
IZQUIERDO,2
ERAZO,2
GAGLIARDO,2
ESCOBAR,2
CORRAL,2
COLLAGUAZO,2
GENDE,2
ESPINOSA,2
GODOY,2
ESPINOZA,2
GUALINGA,2
FARFAN,2
GUILLEN,2
CONTRERAS,2
HERVAS,2
FLOR,2
CUENCA,2
CORO,2
CUJI,2
FRIAS,2
FRITSCHI,2
CORTAZAR,2
CARRASCO,2
BERNAL,2
AGUAS,2
AROCA,2
CANALES,2
BOSQUEZ,2
BAYAS,2
BRAMBILLA,2
CERVANTES,2
ANDINO,2
CHILIQUINGA,2
BRIONES,2
ARBOLEDA,2
BUCARAM,2
BASANTE,2
BUENDIA,2
BECERRA,2
