Apellidos,Total
ABAD,18453
ABARCA,3750
ABRIGO,1456
ABRIL,6667
ACAN,2133
ACARO,3990
ACEBO,1505
ACERO,3503
ACEVEDO,2410
ACHIG,2000
ACOSTA,40793
ACURIO,4546
ACUÑA,5388
ADRIAN,2471
AGILA,4424
AGREDA,1877
AGUAGALLO,1996
AGUAIZA,2007
AGUALONGO,4756
AGUALSACA,2039
AGUAS,3096
AGUAVIL,2606
AGUAYO,6914
AGUDO,1037
AGUIAR,2638
AGUILA,1235
AGUILAR,46471
AGUILERA,8208
AGUINDA,11486
AGUINSACA,1051
AGUIRRE,39175
AGURTO,2912
AIGAJE,1173
AIMACAÑA,2714
AJILA,5627
AJON,2062
ALAJO,1528
ALARCON,23481
ALAVA,32983
ALAY,6762
ALBA,3265
ALBAN,17119
ALBARRACIN,3609
ALBERCA,1146
ALBIÑO,1102
ALBUJA,4744
ALCIVAR,58985
ALCOCER,2188
ALCOSER,1424
ALDAS,5344
ALDAZ,6761
ALEGRIA,1727
ALEJANDRO,7237
ALEMAN,2241
ALENCASTRO,1027
ALFONSO,1882
ALFONZO,1004
ALLAICA,1162
ALLAICO,1155
ALLAUCA,3597
ALMACHE,3144
ALMACHI,4713
ALMAGRO,1582
ALMEIDA,31006
ALMENDARIZ,1361
ALOMOTO,3973
ALONSO,2142
ALONZO,3935
ALQUINGA,3216
ALTAMIRANO,14570
ALULEMA,3130
ALULIMA,1272
ALVARADO,102146
ALVAREZ,75562
ALVARIO,1341
ALVARO,1541
ALVARRACIN,1820
ALVEAR,8374
ALVERCA,1643
ALVIA,4788
AMADOR,1262
AMAGUA,2253
AMAGUAYA,2391
AMAGUAÑA,5424
AMAIQUEMA,1316
AMAN,1215
AMANCHA,1269
AMAY,1494
AMAYA,4560
AMBULUDI,3294
AMENDAÑO,1039
AMORES,3092
AMPUERO,1010
ANAGUANO,1307
ANALUISA,6313
ANANGONO,2545
ANASTACIO,2700
ANCHUNDIA,36485
ANDAGANA,1433
ANDAGOYA,1014
ANDALUZ,2161
ANDI,11857
ANDINO,4843
ANDRADE,77637
ANDRANGO,10651
ANDY,8412
ANGAMARCA,8344
ANGEL,2914
ANGO,1117
ANGUISACA,2077
ANGULO,29083
ANILEMA,1745
ANKUASH,3283
ANRANGO,7532
ANRRANGO,2416
ANTE,3938
ANTEPARA,1876
ANTON,1260
ANTUN,2355
